listing_id,building_name,full_address,street,city,state,zip,lat,lon,dist_to_campus_km,unit_label,beds,baths,sqft,rent_raw,rent_min,rent_max,price_type,is_per_bed,is_shared_bedroom,year_built,num_units,building_type,stories,has_in_unit_laundry,has_on_site_laundry,has_dishwasher,has_ac,has_heat_included,has_water_included,has_internet_included,is_furnished,has_gym,has_pool,has_rooftop_or_clubroom,has_parking_available,has_garage,pets_allowed,is_student_branded,scrape_date,source_url
zl6g7mz-1.0bed,Mansard Apartments,"2930 33rd Ave S, Minneapolis, MN 55406
Property Website",2930 33rd Ave S,Minneapolis,MN,55406,44.949571,-93.2244271,2.77,,1.0,1.0,665,"$1,011",1011.0,1011.0,per_unit,False,,,,,,True,True,False,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:15:12.024831,https://www.apartments.com/mansard-apartments-minneapolis-mn/zl6g7mz/
zl6g7mz-0bed,Mansard Apartments,"2930 33rd Ave S, Minneapolis, MN 55406
Property Website",2930 33rd Ave S,Minneapolis,MN,55406,44.949571,-93.2244271,2.77,,0.0,1.0,440,$866,866.0,866.0,per_unit,False,,,,,,True,True,False,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:15:12.020485,https://www.apartments.com/mansard-apartments-minneapolis-mn/zl6g7mz/
96fshx5-1.0bed,B-Side,"3027 22nd Ave S, Minneapolis, MN 55407
Property Website",3027 22nd Ave S,Minneapolis,MN,55407,44.947146,-93.2405177,2.91,,1.0,1.0,735,$500,500.0,500.0,per_unit,False,,,,,,True,False,True,True,False,False,False,True,True,False,True,True,True,True,True,2025-11-26T20:16:25.832797,https://www.apartments.com/b-side-minneapolis-mn/96fshx5/
96fshx5-2.0bed,B-Side,"3027 22nd Ave S, Minneapolis, MN 55407
Property Website",3027 22nd Ave S,Minneapolis,MN,55407,44.947146,-93.2405177,2.91,,2.0,2.0,940,$500,500.0,500.0,per_unit,False,,,,,,True,False,True,True,False,False,False,True,True,False,True,True,True,True,True,2025-11-26T20:16:25.842031,https://www.apartments.com/b-side-minneapolis-mn/96fshx5/
c96j24f-1.0bed,Everlake Apartments,"2615 E 29th St, Minneapolis, MN 55406
Property Website",2615 E 29th St,Minneapolis,MN,55406,44.9500834,-93.2344056,2.56,,1.0,1.0,715,"$1,375",1375.0,1375.0,per_unit,False,,,,,,True,False,True,True,False,False,False,True,True,True,False,True,False,True,True,2025-11-26T20:16:58.125386,https://www.apartments.com/everlake-apartments-minneapolis-mn/c96j24f/
c96j24f-0bed,Everlake Apartments,"2615 E 29th St, Minneapolis, MN 55406
Property Website",2615 E 29th St,Minneapolis,MN,55406,44.9500834,-93.2344056,2.56,,0.0,1.0,430,"$1,153",1153.0,1153.0,per_unit,False,,,,,,True,False,True,True,False,False,False,True,True,True,False,True,False,True,True,2025-11-26T20:16:58.088639,https://www.apartments.com/everlake-apartments-minneapolis-mn/c96j24f/
t2eecb9-0bed,The Miro,"3140 Minnehaha Ave, Minneapolis, MN 55406",3140 Minnehaha Ave,Minneapolis,MN,55406,44.9456508,-93.2324216,3.06,,0.0,1.0,266,$799,799.0,799.0,per_unit,False,,,,,,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:17:08.927173,https://www.apartments.com/the-miro-minneapolis-mn/t2eecb9/
71389jw-1.0bed,2100 Aldrich,"2100 Aldrich Ave S, Minneapolis, MN 55405
Property Website",2100 Aldrich Ave S,Minneapolis,MN,55405,44.9616439,-93.2895547,4.41,,1.0,1.0,700,"$1,095",1095.0,1095.0,per_unit,False,,,,,,True,True,True,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:28:37.833530,https://www.apartments.com/2100-aldrich-minneapolis-mn/71389jw/
71389jw-2.0bed,2100 Aldrich,"2100 Aldrich Ave S, Minneapolis, MN 55405
Property Website",2100 Aldrich Ave S,Minneapolis,MN,55405,44.9616439,-93.2895547,4.41,,2.0,1.0,1000,"$1,395",1395.0,1395.0,per_unit,False,,,,,,True,True,True,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:28:37.837091,https://www.apartments.com/2100-aldrich-minneapolis-mn/71389jw/
y5cfefs-1.0bed,2300 Aldrich Ave S,"2300 Aldrich Ave S, Minneapolis, MN 55405
Property Website",2300 Aldrich Ave S,Minneapolis,MN,55405,44.9600418,-93.289554,4.46,,1.0,1.0,560,"$1,140",1140.0,1140.0,per_unit,False,,,,,,True,True,False,True,False,False,False,True,False,False,False,True,False,True,True,2025-11-26T20:29:29.137259,https://www.apartments.com/2300-aldrich-ave-s-minneapolis-mn/y5cfefs/
