listing_id,building_name,full_address,street,city,state,zip,lat,lon,dist_to_campus_km,unit_label,beds,baths,sqft,rent_raw,rent_min,rent_max,price_type,is_per_bed,is_shared_bedroom,year_built,num_units,building_type,stories,has_in_unit_laundry,has_on_site_laundry,has_dishwasher,has_ac,has_heat_included,has_water_included,has_internet_included,is_furnished,has_gym,has_pool,has_rooftop_or_clubroom,has_parking_available,has_garage,pets_allowed,is_student_branded,available_date,lease_term,property_manager,scrape_date,source_url
umn_44172,"The Quad on Delaware 2508 Delaware Street SE, Minneapolis, MN 55414    Featured     2 - 4 Bed  closeclose 1111111111111111111","2508 Delaware Street SE, Minneapolis, MN 55414",2508 Delaware Street SE,Minneapolis,MN,55414,44.9716105,-93.2217586,1.12,,2.0,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:22.115440,#
umn_10010,"Yugo Minneapolis Sydney Hall 310 15th Ave SE, Minneapolis, MN 55414    Featured          Be Thankful for Where you Live this Thanksgiving!   Sign for our Black Friday sale and get a $800 rent credit on your 2nd month!   S - 4 Bed  closeclose 11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111","310 15th Ave SE, Minneapolis, MN 55414",310 15th Ave SE,Minneapolis,MN,55414,44.9795375,-93.2342949,0.73,,4.0,,,$800,800.0,800.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:22.149052,#
umn_76215,Colfax Villas 3619 Colfax Ave S,"3619 Colfax Ave S, Minneapolis, MN 55409",3619 Colfax Ave S,Minneapolis,MN,55409,44.9370438,-93.2916975,5.95,,2.0,,,$929,929.0,929.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.103934,#
umn_11676,"Bierman Place 1401 6th Street SE, Minneapolis, MN 55414, United States    Featured     2 - 4 Bed  closeclose 11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111","1401 6th Street SE, Minneapolis, MN 55414",1401 6th Street SE,Minneapolis,MN,55414,44.9825859,-93.2337241,1.07,,2.0,,,"$50,",50.0,50.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.136016,#
umn_111072,"Factory Lofts 2655 Essex St SE, Minneapolis, MN 55414, USA    Featured     S - 4 Bed  closeclose 11111111111111111111111111111111111111111111111111111111111111111111111111111111111","2655 Essex St SE, Minneapolis, MN 55414",2655 Essex St SE,Minneapolis,MN,55414,44.9706755,-93.2207466,1.22,,4.0,,,$694,694.0,694.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.163632,#
umn_9714,"Gopher Commons 1701 & 1725 1725 Elm St SE, Minneapolis, MN 55414    Featured     2 Bed  closeclose 11111111111111111111111111111111111111111111111111111","1701 & 1725 1725 Elm St SE, Minneapolis, MN 55414",1701 & 1725 1725 Elm St SE,Minneapolis,MN,55414,,,,,2.0,,,$1249,1249.0,1249.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.180408,#
umn_60211,"525 Tenth Apartments Dinkytown 525 10th Ave SE, Minneapolis, MN 55414, USA    Featured     1 - 5 Bed  closeclose 1111111111111111111111111111111111111111111111111","525 Tenth Apartments Dinkytown 525 10th Ave SE, Minneapolis, MN 55414",525 Tenth Apartments Dinkytown 525 10th Ave SE,Minneapolis,MN,55414,,,,,1.0,,,$1250,1250.0,1250.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.197788,#
umn_11393,"Redmond Apartments 617 University Ave SE, Minneapolis, MN 55414, USA    Featured     3 - 5 Bed  closeclose 1111111111111111111111111","617 University Ave SE, Minneapolis, MN 55414",617 University Ave SE,Minneapolis,MN,55414,44.9709383,-93.2152922,1.64,,3.0,,,$1800,1800.0,1800.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.213943,#
umn_10057,"FloCo Fusion 1000 University Ave SEMinneapolis, MN 55414    Featured     1 - 5 Bed  closeclose 1111111111111111111111111","1000 University Ave SE, Minneapolis, MN 55414",1000 University Ave SE,Minneapolis,MN,55414,44.9709383,-93.2152922,1.64,,1.0,,,$600,600.0,600.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.231136,#
umn_230892,"Spectrum Apartments & Townhomes 815 SE 9th Ave, Minneapolis, MN 55414, USA    Featured     1 - 4 Bed  closeclose 111111111111111111111111111111111111111111111111111111111111111","815 SE 9th Ave, Minneapolis, MN 55414",815 SE 9th Ave,Minneapolis,MN,55414,44.9879023,-93.2394526,1.67,,1.0,,,$1345,1345.0,1345.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.247596,#
umn_10336,"University Village 2515 University Ave SE, Minneapolis, MN 55414    Featured     2 - 4 Bed  closeclose 1111111111111111111111111111111111111111111111111111111111111","2515 University Ave SE, Minneapolis, MN 55414",2515 University Ave SE,Minneapolis,MN,55414,44.9733879,-93.2210765,1.17,,2.0,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.267494,#
umn_43517,"609 15th Ave SE 609 15th Ave SE, Minneapolis, MN 55414    Featured     4 Bed  closeclose 11111111111111111","609 15th Ave SE 609 15th Ave SE, Minneapolis, MN 55414",609 15th Ave SE 609 15th Ave SE,Minneapolis,MN,55414,,,,,4.0,4.0,,$3420,3420.0,3420.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.284967,#
umn_229984,"The Palmer 600 N 5th St, Minneapolis, MN 55401 USA    Featured          The Palmer is now offering 2 Months Free on ANY home! Pricing reflects the current special - no math required! Contact us to learn more and schedule your tour today.  1 - 2 Bed  closeclose 11111111111111111111111111111111111111111111111111111111111111111","600 N 5th St, Minneapolis, MN 55401",600 N 5th St,Minneapolis,MN,55401,44.9849153,-93.2795213,3.67,,1.0,,,$1311,1311.0,1311.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.302195,#
umn_9548,"Golden Lodge 621 15th Ave SEMinneapolis, MN 55414    Featured     2 - 5 Bed  closeclose 11111111111111111111111111111111111111111111111111111111111111111","621 15th Ave SE, Minneapolis, MN 55414",621 15th Ave SE,Minneapolis,MN,55414,44.9821977,-93.2327123,1.04,,2.0,,,$1500,1500.0,1500.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.320919,#
umn_69586,"Elmwood Properties - 1040 Como Ave. SE 1040 Como Ave SEMinneapolis, MN 55414    Featured     S - 1 Bed  closeclose 1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111","1040 Como Ave. SE 1040 Como Ave SE, Minneapolis, MN 55414",1040 Como Ave. SE 1040 Como Ave SE,Minneapolis,MN,55414,,,,,1.0,,,$1225,1225.0,1225.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.347734,#
umn_112484,"The Standard | Coming Fall 2025 521 15th Ave SE, Minneapolis, MN 55414, USA    Featured     S - 5 Bed  closeclose 111111111111111111111111111111111111111111111111111","2025 521 15th Ave SE, Minneapolis, MN 55414",2025 521 15th Ave SE,Minneapolis,MN,55414,,,,,5.0,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.364295,#
umn_10058,"Historic Florence Court 1022 University Ave SE Minneapolis, MN 55414 USA    Featured     1 - 5 Bed  closeclose 11111","1022 University Ave SE, Minneapolis, MN 55414",1022 University Ave SE,Minneapolis,MN,55414,44.9709383,-93.2152922,1.64,,1.0,,,$645,645.0,645.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.384367,#
umn_26283,"Chateau Student Housing Cooperative 425 13th Ave SE, Minneapolis, MN 55414, USA    Featured     S - 4 Bed  closeclose 111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111","425 13th Ave SE, Minneapolis, MN 55414",425 13th Ave SE,Minneapolis,MN,55414,44.9819008,-93.2369227,0.98,,4.0,,,$1038,1038.0,1038.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.414106,#
umn_9727,"Radius 701 15th Avenue SE, Minneapolis, MN 55414    Featured     1 - 4 Bed  closeclose 111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111","701 15th Avenue SE, Minneapolis, MN 55414",701 15th Avenue SE,Minneapolis,MN,55414,44.9835039,-93.2324963,1.19,,1.0,,,$479,479.0,479.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.434516,#
umn_10020,"Yugo Minneapolis 412 Lofts 406 12th Ave SE, Minneapolis, MN 55414    Featured          Be Thankful for Where you Live this Thanksgiving!   Sign for our Black Friday sale and get a $1000 rent credit on your 2nd month!   S - 3 Bed  closeclose 1111111111111111111111111111111111111111111111111111111111111111111111111111111111111","412 Lofts 406 12th Ave SE, Minneapolis, MN 55414",412 Lofts 406 12th Ave SE,Minneapolis,MN,55414,44.9818596,-93.2378177,0.99,,3.0,,,$1000,1000.0,1000.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.480025,#
umn_117997,"Coze Flats 628 University Avenue SE, Minneapolis, MN 55414 USA    Featured     S - 1 Bed  closeclose 11111111111111111111111111111111111111111111111111111","628 University Avenue SE, Minneapolis, MN 55414",628 University Avenue SE,Minneapolis,MN,55414,44.9705022,-93.2142078,1.73,,1.0,,,$1325,1325.0,1325.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.496998,#
umn_58442,"The Rail 814 13th Ave SE Minneapolis, MN 55414    Featured     2 - 3 Bed  closeclose 111111111111111111111111111111111111111111111","814 13th Ave SE, Minneapolis, MN 55414",814 13th Ave SE,Minneapolis,MN,55414,44.9852743,-93.2330688,1.37,,2.0,3.0,,$1450,1450.0,1450.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.513458,#
umn_11394,"Redmond Apartments 623 University Ave SE, Minneapolis, MN 55414, USA    Featured     3 - 5 Bed  closeclose 111111111111111111111111111111111111111111111111111111111111111111111","623 University Ave SE, Minneapolis, MN 55414",623 University Ave SE,Minneapolis,MN,55414,44.9709383,-93.2152922,1.64,,3.0,,,$1775,1775.0,1775.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:11:48.530589,#
